,transaction_id,user_id,transaction_type,amount,location,device_type,network_provider,user_type,time_of_day,is_foreign_number,is_sim_recently_swapped,has_multiple_accounts,datetime
73,TX100073,user_9571,Withdraw Cash,1202.0,Machakos,Android,Telkom Kenya,individual,night,0,1,0,2024-06-16 03:47:17
74,TX100074,user_9684,Lipa na M-Pesa,1868.65,Machakos,Feature Phone,Airtel,individual,evening,0,0,1,2024-06-09 11:07:59
75,TX100075,user_8208,Pay Bill,2796.83,Kisumu,Feature Phone,Telkom Kenya,individual,morning,0,0,0,2024-06-07 19:13:06
76,TX100076,user_6276,Withdraw Cash,1228.73,Nakuru,iOS,Airtel,individual,afternoon,0,1,1,2024-06-17 08:56:21
77,TX100077,user_3062,Buy Airtime,1187.62,Eldoret,Feature Phone,Telkom Kenya,individual,evening,0,0,0,2024-06-11 00:53:26
78,TX100078,user_1064,Withdraw Cash,14264.02,Nakuru,Feature Phone,Airtel,individual,morning,0,0,0,2024-06-28 21:56:45
79,TX100079,user_9006,Send Money,149.68,Machakos,Feature Phone,Safaricom,agent,morning,0,0,0,2024-06-25 19:51:02
80,TX100080,user_3568,Send Money,15798.99,Eldoret,Feature Phone,Telkom Kenya,individual,evening,0,0,0,2024-06-14 17:09:47
81,TX100081,user_6463,Lipa na M-Pesa,171.25,Nakuru,iOS,Safaricom,individual,morning,0,0,0,2024-06-01 23:44:57
82,TX100082,user_3027,Withdraw Cash,1190.55,Garissa,Android,Safaricom,individual,morning,0,0,1,2024-06-08 04:14:16
83,TX100083,user_3695,Buy Airtime,2382.13,Kisumu,Feature Phone,Telkom Kenya,individual,morning,0,0,0,2024-06-04 03:47:08
84,TX100084,user_6258,Send Money,541.33,Thika,Android,Telkom Kenya,individual,afternoon,0,0,0,2024-06-21 10:07:31
85,TX100085,user_6618,Deposit Cash,506.97,Nyeri,Android,Airtel,individual,morning,0,0,0,2024-06-11 06:30:04
86,TX100086,user_7736,Buy Airtime,1036.47,Eldoret,Android,Telkom Kenya,individual,morning,0,0,0,2024-06-27 13:43:05
87,TX100087,user_1391,Deposit Cash,12708.09,Eldoret,Feature Phone,Telkom Kenya,individual,evening,0,0,0,2024-06-01 20:06:06
88,TX100088,user_6892,Pay Bill,1673.79,Thika,Feature Phone,Airtel,individual,evening,0,0,0,2024-06-12 02:50:31
89,TX100089,user_4561,Deposit Cash,2921.45,Thika,iOS,Airtel,individual,afternoon,0,0,0,2024-06-15 19:08:17
90,TX100090,user_7184,Send Money,4264.33,Kisumu,Feature Phone,Telkom Kenya,individual,evening,0,0,1,2024-06-24 09:06:08
91,TX100091,user_4099,Lipa na M-Pesa,4744.8,Nairobi,Feature Phone,Telkom Kenya,individual,afternoon,0,0,0,2024-06-22 23:49:55
92,TX100092,user_7278,Pay Bill,4077.09,Kisumu,Feature Phone,Telkom Kenya,individual,morning,0,0,0,2024-06-26 09:05:19
93,TX100093,user_9392,Withdraw Cash,1438.05,Machakos,Android,Safaricom,individual,morning,0,0,0,2024-06-20 19:04:44
94,TX100094,user_4104,Buy Airtime,414.67,Machakos,iOS,Safaricom,individual,morning,0,0,0,2024-06-26 23:20:13
95,TX100095,user_8215,Send Money,1158.12,Thika,Android,Telkom Kenya,individual,evening,0,0,0,2024-06-10 13:44:45
96,TX100096,user_3454,Pay Bill,826.34,Garissa,iOS,Airtel,individual,afternoon,0,0,0,2024-06-20 12:39:52
97,TX100097,user_9996,Pay Bill,512.76,Mombasa,Feature Phone,Telkom Kenya,individual,evening,0,0,0,2024-06-12 19:45:24
98,TX100098,user_3731,Send Money,86.81,Nyeri,Feature Phone,Telkom Kenya,individual,evening,0,0,0,2024-06-11 10:58:50
99,TX100099,user_9154,Withdraw Cash,9606.09,Kisumu,Android,Safaricom,individual,afternoon,0,0,0,2024-06-14 00:26:06
100,TX100100,user_6056,Withdraw Cash,8885.6,Mombasa,Android,Telkom Kenya,individual,afternoon,0,0,0,2024-06-23 13:17:29
101,TX100101,user_9110,Lipa na M-Pesa,181.06,Nakuru,Android,Telkom Kenya,individual,night,0,0,0,2024-06-28 12:30:58
102,TX100102,user_4840,Deposit Cash,665.18,Nairobi,iOS,Safaricom,individual,night,0,0,0,2024-06-28 14:06:27
103,TX100103,user_2028,Withdraw Cash,525.85,Nakuru,Android,Safaricom,individual,night,0,0,0,2024-06-12 17:41:37
104,TX100104,user_8385,Lipa na M-Pesa,1155.71,Meru,Feature Phone,Airtel,agent,afternoon,0,0,0,2024-06-06 21:26:43
105,TX100105,user_1502,Deposit Cash,798.85,Eldoret,iOS,Airtel,individual,morning,0,0,0,2024-06-20 21:02:33
106,TX100106,user_7910,Pay Bill,10206.22,Thika,iOS,Airtel,individual,evening,0,0,1,2024-06-29 23:17:50
107,TX100107,user_7938,Send Money,307.74,Nakuru,Feature Phone,Telkom Kenya,individual,evening,0,0,1,2024-06-11 04:57:48
108,TX100108,user_5488,Withdraw Cash,832.44,Nyeri,Android,Airtel,individual,night,0,0,0,2024-06-14 18:32:41
109,TX100109,user_1206,Lipa na M-Pesa,294.59,Nakuru,Android,Safaricom,individual,morning,0,0,0,2024-06-17 19:26:24
110,TX100110,user_6134,Pay Bill,13760.17,Machakos,Feature Phone,Airtel,individual,afternoon,0,0,0,2024-06-10 03:47:32
111,TX100111,user_6977,Withdraw Cash,8771.32,Mombasa,Feature Phone,Telkom Kenya,individual,evening,0,0,0,2024-06-11 12:34:35
112,TX100112,user_8721,Buy Airtime,4413.53,Kisumu,Feature Phone,Telkom Kenya,agent,morning,0,0,0,2024-06-14 07:29:04
113,TX100113,user_8035,Pay Bill,1942.78,Kisumu,Feature Phone,Airtel,individual,evening,0,0,0,2024-06-27 08:22:59
114,TX100114,user_2484,Withdraw Cash,738.29,Kisumu,iOS,Telkom Kenya,individual,evening,0,0,0,2024-06-15 15:46:09
115,TX100115,user_8858,Pay Bill,876.31,Thika,iOS,Telkom Kenya,individual,evening,0,0,0,2024-06-24 05:43:05
116,TX100116,user_1863,Send Money,2048.42,Garissa,Android,Telkom Kenya,individual,afternoon,0,0,0,2024-06-04 16:22:02
117,TX100117,user_3790,Send Money,5116.92,Garissa,iOS,Airtel,individual,afternoon,0,0,0,2024-06-02 19:10:22
118,TX100118,user_8408,Send Money,1076.31,Garissa,iOS,Telkom Kenya,agent,evening,0,0,0,2024-06-22 08:16:53
119,TX100119,user_9755,Deposit Cash,1302.74,Kisumu,iOS,Airtel,individual,afternoon,0,0,0,2024-06-10 16:27:14
120,TX100120,user_6116,Buy Airtime,3206.53,Nairobi,Feature Phone,Airtel,individual,morning,0,0,0,2024-06-05 03:24:59
121,TX100121,user_7019,Send Money,950.09,Thika,iOS,Telkom Kenya,individual,morning,0,0,0,2024-06-13 19:25:22
122,TX100122,user_2757,Buy Airtime,3071.58,Kisumu,Android,Airtel,individual,evening,0,0,0,2024-06-24 15:54:04
123,TX100123,user_8574,Send Money,1713.61,Kisumu,iOS,Airtel,individual,night,0,0,0,2024-06-22 14:02:27
124,TX100124,user_7374,Deposit Cash,122.4,Kisumu,Feature Phone,Telkom Kenya,individual,morning,0,0,0,2024-06-27 12:34:54
125,TX100125,user_7892,Pay Bill,1803.68,Nyeri,iOS,Telkom Kenya,individual,afternoon,0,1,0,2024-06-15 00:50:41
126,TX100126,user_2678,Withdraw Cash,8819.34,Eldoret,Android,Airtel,agent,afternoon,0,0,0,2024-06-02 02:24:44
127,TX100127,user_4242,Withdraw Cash,1214.09,Nakuru,iOS,Safaricom,individual,morning,1,0,0,2024-06-05 08:01:56
128,TX100128,user_5636,Send Money,1364.43,Kisumu,Android,Safaricom,agent,night,0,0,0,2024-06-22 08:34:43
129,TX100129,user_2059,Withdraw Cash,238.75,Meru,Feature Phone,Safaricom,individual,evening,0,0,0,2024-06-11 00:29:08
130,TX100130,user_7668,Send Money,3341.22,Nairobi,Android,Safaricom,individual,morning,0,0,0,2024-06-09 04:34:48
131,TX100131,user_4157,Send Money,6622.29,Eldoret,Android,Airtel,individual,afternoon,0,0,0,2024-06-12 08:34:25
132,TX100132,user_6915,Lipa na M-Pesa,1523.51,Nairobi,Feature Phone,Telkom Kenya,individual,night,0,1,0,2024-06-19 08:54:42
133,TX100133,user_3693,Lipa na M-Pesa,961.66,Garissa,Android,Safaricom,individual,evening,0,0,0,2024-06-12 05:39:25
134,TX100134,user_4627,Lipa na M-Pesa,10981.49,Garissa,iOS,Telkom Kenya,individual,afternoon,0,0,0,2024-06-15 01:17:41
135,TX100135,user_6450,Buy Airtime,4783.72,Eldoret,iOS,Safaricom,individual,evening,0,0,0,2024-06-03 15:40:29
136,TX100136,user_2663,Lipa na M-Pesa,2930.88,Nakuru,Android,Safaricom,individual,evening,0,0,0,2024-06-10 23:19:32
137,TX100137,user_6592,Send Money,1276.13,Meru,iOS,Safaricom,individual,night,0,0,0,2024-06-18 14:08:06
138,TX100138,user_8392,Deposit Cash,873.2,Garissa,iOS,Telkom Kenya,agent,evening,0,0,0,2024-06-17 02:54:57
139,TX100139,user_2306,Deposit Cash,4402.58,Thika,Feature Phone,Telkom Kenya,individual,afternoon,0,0,1,2024-06-01 00:58:22
140,TX100140,user_7776,Pay Bill,2581.96,Eldoret,Android,Safaricom,agent,evening,0,0,0,2024-06-03 07:33:53
141,TX100141,user_6864,Lipa na M-Pesa,2573.27,Eldoret,iOS,Telkom Kenya,agent,evening,0,0,0,2024-06-18 19:45:55
142,TX100142,user_8526,Deposit Cash,267.99,Mombasa,Android,Safaricom,individual,morning,1,0,0,2024-06-04 16:59:21
143,TX100143,user_9901,Lipa na M-Pesa,2512.43,Meru,Android,Airtel,individual,morning,0,0,0,2024-06-08 07:11:22
144,TX100144,user_6575,Pay Bill,6055.56,Mombasa,iOS,Telkom Kenya,individual,afternoon,0,0,1,2024-06-07 11:51:35
145,TX100145,user_6530,Deposit Cash,10267.89,Eldoret,Feature Phone,Safaricom,individual,evening,0,0,0,2024-06-15 06:39:50
146,TX100146,user_5413,Send Money,394.85,Nakuru,Feature Phone,Airtel,individual,morning,0,0,0,2024-06-19 07:36:19
147,TX100147,user_4748,Buy Airtime,3490.92,Eldoret,Android,Airtel,individual,afternoon,0,0,1,2024-06-03 16:48:06
148,TX100148,user_1663,Lipa na M-Pesa,2940.47,Kisumu,Feature Phone,Safaricom,individual,evening,1,0,0,2024-06-27 03:28:13
149,TX100149,user_2998,Deposit Cash,7735.42,Mombasa,iOS,Airtel,agent,afternoon,0,0,0,2024-06-04 17:28:33
150,TX100150,user_8994,Deposit Cash,4869.49,Eldoret,iOS,Airtel,individual,evening,0,0,0,2024-06-25 15:08:00
151,TX100151,user_2495,Pay Bill,11759.71,Nakuru,Feature Phone,Safaricom,agent,night,0,0,0,2024-06-08 16:40:21
152,TX100152,user_4304,Send Money,11268.91,Nairobi,Feature Phone,Airtel,individual,morning,0,0,0,2024-06-05 14:30:56
153,TX100153,user_4763,Withdraw Cash,895.22,Nairobi,Android,Airtel,individual,night,0,0,0,2024-06-11 16:46:50
154,TX100154,user_6232,Deposit Cash,4522.91,Thika,Feature Phone,Safaricom,individual,evening,0,0,1,2024-06-23 05:02:55
155,TX100155,user_2853,Buy Airtime,2646.48,Nakuru,Android,Safaricom,individual,night,0,0,0,2024-06-24 12:16:07
156,TX100156,user_7585,Pay Bill,845.48,Eldoret,iOS,Airtel,individual,night,0,0,1,2024-06-22 13:29:10
157,TX100157,user_2291,Deposit Cash,758.63,Nairobi,Feature Phone,Telkom Kenya,individual,morning,0,0,0,2024-06-02 11:52:13
158,TX100158,user_4581,Deposit Cash,295.96,Garissa,Android,Safaricom,individual,night,0,0,0,2024-06-01 20:34:03
159,TX100159,user_8554,Pay Bill,5555.93,Eldoret,Android,Telkom Kenya,agent,evening,0,0,0,2024-06-04 22:45:15
160,TX100160,user_8280,Pay Bill,1373.08,Kisumu,Android,Safaricom,individual,evening,0,0,0,2024-06-06 09:26:29
161,TX100161,user_2636,Lipa na M-Pesa,6806.42,Garissa,Android,Telkom Kenya,individual,night,0,0,0,2024-06-01 03:12:21
162,TX100162,user_4696,Deposit Cash,3280.54,Mombasa,iOS,Safaricom,individual,morning,0,0,0,2024-06-06 16:45:36
163,TX100163,user_1698,Withdraw Cash,3919.07,Meru,Feature Phone,Airtel,individual,morning,0,0,0,2024-06-14 20:31:51
164,TX100164,user_5737,Buy Airtime,1206.98,Nairobi,Android,Airtel,individual,night,0,0,0,2024-06-16 23:43:46
165,TX100165,user_1854,Send Money,2139.16,Eldoret,Feature Phone,Telkom Kenya,agent,morning,0,0,0,2024-06-03 18:17:50
166,TX100166,user_9164,Send Money,1860.49,Machakos,Feature Phone,Telkom Kenya,individual,night,0,0,0,2024-06-28 03:09:55
167,TX100167,user_6855,Withdraw Cash,940.73,Thika,iOS,Safaricom,individual,night,0,0,1,2024-06-15 21:19:35
168,TX100168,user_8392,Pay Bill,6253.96,Nyeri,Feature Phone,Safaricom,individual,afternoon,0,0,0,2024-06-04 12:16:13
169,TX100169,user_7528,Pay Bill,3405.8,Nairobi,iOS,Telkom Kenya,individual,night,0,0,0,2024-06-11 08:10:18
170,TX100170,user_6249,Pay Bill,133.53,Nairobi,iOS,Telkom Kenya,individual,morning,0,0,0,2024-06-16 03:44:05
171,TX100171,user_6172,Deposit Cash,6000.18,Nakuru,Android,Airtel,individual,evening,0,0,1,2024-06-11 09:45:39
172,TX100172,user_2707,Pay Bill,392.32,Thika,iOS,Telkom Kenya,individual,night,0,0,1,2024-06-22 12:41:16
173,TX100173,user_6791,Pay Bill,1809.52,Machakos,Android,Airtel,individual,afternoon,0,0,0,2024-06-07 13:18:53
174,TX100174,user_6535,Deposit Cash,2964.14,Kisumu,iOS,Telkom Kenya,individual,afternoon,0,0,0,2024-06-21 22:13:28
175,TX100175,user_5931,Deposit Cash,26.88,Thika,iOS,Airtel,individual,afternoon,0,0,0,2024-06-19 07:04:34
176,TX100176,user_4510,Withdraw Cash,3703.58,Kisumu,Feature Phone,Airtel,agent,afternoon,0,0,0,2024-06-15 01:00:19
177,TX100177,user_1202,Lipa na M-Pesa,3772.78,Machakos,Android,Airtel,individual,morning,0,0,0,2024-06-11 18:37:26
178,TX100178,user_5218,Deposit Cash,3699.73,Eldoret,Feature Phone,Safaricom,individual,evening,0,0,0,2024-06-03 19:25:21
179,TX100179,user_9958,Buy Airtime,624.72,Mombasa,iOS,Airtel,individual,night,0,0,0,2024-06-19 20:01:15
180,TX100180,user_5389,Pay Bill,1033.74,Nyeri,Android,Telkom Kenya,individual,night,0,0,0,2024-06-14 15:52:21
181,TX100181,user_3327,Lipa na M-Pesa,994.66,Meru,iOS,Telkom Kenya,individual,evening,0,0,1,2024-06-03 13:47:38
182,TX100182,user_9004,Send Money,11271.93,Machakos,iOS,Telkom Kenya,individual,night,0,0,0,2024-06-02 11:17:29
183,TX100183,user_3931,Withdraw Cash,244.71,Thika,Feature Phone,Safaricom,individual,night,0,0,0,2024-06-18 13:50:58
184,TX100184,user_8777,Lipa na M-Pesa,1959.82,Kisumu,Android,Airtel,individual,afternoon,0,0,0,2024-06-22 14:12:23
185,TX100185,user_1197,Deposit Cash,7174.7,Mombasa,Android,Safaricom,individual,afternoon,0,0,0,2024-06-06 05:54:50
186,TX100186,user_8125,Pay Bill,5135.75,Eldoret,Android,Airtel,individual,morning,0,0,0,2024-06-27 09:52:20
187,TX100187,user_2930,Pay Bill,6049.61,Eldoret,iOS,Telkom Kenya,agent,evening,0,0,0,2024-06-22 01:56:45
188,TX100188,user_7287,Pay Bill,12551.32,Nairobi,Android,Airtel,individual,morning,0,0,0,2024-06-04 15:30:21
189,TX100189,user_9800,Lipa na M-Pesa,1714.36,Nyeri,iOS,Safaricom,individual,night,0,0,1,2024-06-29 14:11:18
190,TX100190,user_5282,Pay Bill,1296.97,Meru,iOS,Safaricom,individual,afternoon,0,0,0,2024-06-07 12:19:58
191,TX100191,user_3511,Deposit Cash,108.99,Machakos,iOS,Safaricom,individual,afternoon,0,0,0,2024-06-26 05:19:10
192,TX100192,user_1659,Lipa na M-Pesa,568.9,Garissa,Android,Safaricom,individual,afternoon,0,0,0,2024-06-05 03:05:02
193,TX100193,user_3811,Pay Bill,2889.49,Thika,Feature Phone,Telkom Kenya,individual,evening,0,0,0,2024-06-08 12:37:24
194,TX100194,user_8098,Send Money,600.5,Kisumu,iOS,Safaricom,individual,night,0,1,0,2024-06-22 18:19:09
195,TX100195,user_7546,Send Money,4665.37,Eldoret,Feature Phone,Safaricom,individual,evening,0,0,0,2024-06-19 00:31:04
196,TX100196,user_2986,Buy Airtime,132.8,Mombasa,Android,Safaricom,individual,afternoon,0,0,0,2024-06-04 09:50:39
197,TX100197,user_9338,Pay Bill,1051.45,Garissa,Android,Telkom Kenya,individual,evening,0,0,0,2024-06-28 16:35:38
198,TX100198,user_3911,Pay Bill,4161.26,Mombasa,Android,Airtel,individual,afternoon,0,0,0,2024-06-16 09:34:31
199,TX100199,user_2734,Lipa na M-Pesa,1032.66,Meru,Android,Telkom Kenya,individual,evening,0,0,0,2024-06-05 14:02:29
200,TX100200,user_2843,Lipa na M-Pesa,4566.64,Nairobi,Android,Telkom Kenya,individual,evening,0,0,0,2024-06-05 10:19:51
201,TX100201,user_9680,Pay Bill,19207.99,Thika,Feature Phone,Telkom Kenya,individual,afternoon,0,0,0,2024-06-17 01:23:10
202,TX100202,user_3976,Buy Airtime,5582.37,Eldoret,Android,Airtel,individual,night,0,0,0,2024-06-05 10:00:14
203,TX100203,user_2959,Pay Bill,1464.05,Machakos,Android,Safaricom,individual,night,0,1,0,2024-06-16 11:49:56
204,TX100204,user_6759,Deposit Cash,8079.83,Nairobi,Android,Telkom Kenya,individual,evening,0,0,0,2024-06-04 01:02:23
205,TX100205,user_7694,Lipa na M-Pesa,183.88,Nyeri,Android,Safaricom,individual,afternoon,0,0,1,2024-06-23 06:19:46
